-0.394112	-0.444912	-0.558690	-0.304629	-0.352837	-0.250828	-0.297661	-0.457156	-0.307799
0.065710	0.064786	0.071603	0.082269	0.068111	0.088561	0.075141	0.067768	0.086973
0.370398	0.503758	0.574844	0.275204	0.620355	0.622773	0.663275	0.490722	0.258226
150.000000	94.000000	94.000000	72.000000	94.000000	94.000000	94.000000	94.000000	72.000000
75.000000	47.000000	47.000000	36.000000	47.000000	47.000000	47.000000	47.000000	36.000000
0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-0.594643	-0.759741	-0.759741	-0.601045	-0.748178	-0.736302	NaN	-0.882153	-0.672848
0.085022	0.091388	0.091379	0.114552	0.092132	0.091231	NaN	0.090682	0.114836
317.717988	335.494812	367.201714	341.841339	320.778991	320.966471	NaN	320.735763	308.668548
405.000000	550.000000	778.000000	440.000000	470.000000	470.000000	470.000000	470.000000	360.000000
84.000000	275.000000	389.000000	220.000000	235.000000	235.000000	235.000000	235.000000	180.000000
